feature,importance,importance_pct
housing_status_BA,0.2935369,0.29353693
device_os_windows,0.109660216,0.10966023
has_other_cards,0.055068918,0.055068925
phone_home_valid,0.042893622,0.042893626
keep_alive_session,0.040018156,0.04001816
housing_status_BE,0.03019532,0.030195324
device_distinct_emails_8w,0.029590122,0.029590126
email_is_free,0.028587142,0.028587146
proposed_credit_limit,0.022641798,0.0226418
employment_status_CB,0.01932501,0.019325012
income,0.015349139,0.015349141
customer_age,0.015065535,0.015065537
device_os_macintosh,0.014302237,0.014302239
employment_status_CA,0.01427016,0.014270162
employment_status_CF,0.013559037,0.013559039
current_address_months_count,0.013407136,0.013407138
device_os_linux,0.012967889,0.012967891
prev_address_months_count,0.012909401,0.012909403
payment_type_AC,0.011953973,0.011953975
name_email_similarity,0.011581503,0.011581504
date_of_birth_distinct_emails_4w,0.011463336,0.011463337
employment_status_CC,0.010995558,0.010995559
bank_branch_count_8w,0.010883096,0.010883097
credit_risk_score,0.010736965,0.010736966
bank_months_count,0.009591733,0.009591734
foreign_request,0.009292916,0.009292917
month,0.008521907,0.008521908
housing_status_BC,0.008179486,0.008179487
payment_type_AA,0.0076490124,0.0076490133
intended_balcon_amount,0.007632962,0.007632963
phone_mobile_valid,0.0074819587,0.0074819596
housing_status_BD,0.007379816,0.007379817
days_since_request,0.0070596654,0.0070596663
velocity_4w,0.0067166463,0.006716647
housing_status_BB,0.0062458497,0.0062458506
session_length_in_minutes,0.00602263,0.0060226307
zip_count_4w,0.006017207,0.006017208
velocity_24h,0.0057765795,0.00577658
device_os_other,0.0057029803,0.005702981
device_os_x11,0.005684968,0.0056849685
employment_status_CE,0.0055447347,0.005544735
employment_status_CD,0.0055436967,0.005543697
source_INTERNET,0.005472006,0.0054720063
velocity_6h,0.005453409,0.0054534096
payment_type_AB,0.0049754465,0.004975447
payment_type_AD,0.004810955,0.0048109554
employment_status_CG,0.0022811762,0.0022811764
device_fraud_count,0.0,0.0
payment_type_AE,0.0,0.0
housing_status_BF,0.0,0.0
source_TELEAPP,0.0,0.0
housing_status_BG,0.0,0.0
